Scenario,default_rate,system_liquidity,avg_capital_ratio,network_stress
baseline,0.14,0.12800379967424144,-45.62366419588542,0.27699999999999997
recession,0.16,0.1321096616478059,-70.25128078088268,0.337
rate_shock,0.18,0.13066443143840972,-152.94704246176096,0.36
credit_crisis,0.18,0.13213152163759587,-149.4044497285201,0.369
