,system_liquidity,default_rate,network_stress,avg_capital_ratio,avg_liquidity_ratio,unemployment_rate,gdp_growth,interest_rate,credit_spread
0,0.07236311839114253,0.0,0.0,0.20457361668009613,0.060151183571446463,0.04,0.02,0.03,0.02
1,0.10557834174959378,0.0,0.0,0.21071023981329956,0.10032845284318861,0.04,0.02,0.03,0.02
2,0.11763722478101453,0.0,0.0,0.21444292299002998,0.11619226923817734,0.04,0.02,0.03,0.02
3,0.12189417966265953,0.0,0.0,0.21674928468264784,0.12162724952958295,0.04,0.02,0.03,0.02
4,0.12280868111279741,0.0,0.0,0.21827892564624327,0.12270994947861302,0.04,0.02,0.03,0.02
5,0.12283083648871666,0.0,0.0,0.21956876087433236,0.12274428159403458,0.04,0.02,0.03,0.02
6,0.12278708810177676,0.0,0.0,0.2208063470375376,0.12271340142004919,0.04,0.02,0.03,0.02
7,0.1227085187508319,0.0,0.0,0.22199304449685595,0.12264588987578644,0.04,0.02,0.03,0.02
8,0.12261357791233526,0.0,0.0,0.22313126759360688,0.12256071180864983,0.04,0.02,0.03,0.02
9,0.12251242894992109,0.0,0.0,0.22422323860365992,0.12246835558578799,0.04,0.02,0.03,0.02
10,0.12241907470169873,0.02,0.0,0.22527355707034563,0.12238019165920448,0.04,0.02,0.03,0.02
11,0.12275413092150607,0.04,0.0,0.22146731282037643,0.12282139293852976,0.046,0.012,0.03,0.032
12,0.12353890684604679,0.04,0.0,0.21366919362978637,0.12382013885191687,0.052000000000000005,0.004,0.03,0.044
13,0.12454956195694013,0.04,0.1,0.20549040052793338,0.12510901156348522,0.057999999999999996,-0.004,0.03,0.055999999999999994
14,0.12541126555476373,0.04,0.1,0.19675951938664132,0.12623687073321727,0.064,-0.012,0.03,0.068
15,0.12583851415926703,0.04,0.2,0.19296245198845244,0.1268613153258455,0.07,-0.02,0.03,0.08
16,0.1260231136787061,0.04,0.2,0.18968793693754013,0.12720261474452216,0.07,-0.02,0.03,0.08
17,0.1260726726484753,0.04,0.2,0.19011828925720203,0.12738373057220848,0.07,-0.02,0.03,0.08
18,0.12604765088316003,0.04,0.2,0.19052176559104933,0.12747414019834072,0.07,-0.02,0.03,0.08
19,0.1259820318210922,0.04,0.2,0.19089830334022345,0.12751336311898862,0.07,-0.02,0.03,0.08
20,0.12590518149339786,0.04,0.2,0.19125156475084565,0.12753152154032543,0.07,-0.02,0.03,0.08
21,0.12582335569557757,0.04,0.2,0.1915824759188035,0.12754032421014266,0.07,-0.02,0.03,0.08
22,0.1257392656623471,0.04,0.2,0.19189063940219608,0.12754357449709036,0.07,-0.02,0.03,0.08
23,0.1256633561417798,0.04,0.2,0.1921789185477774,0.12755038888556886,0.07,-0.02,0.03,0.08
24,0.12558761527395504,0.06,0.2,0.19244486186323126,0.12755488842304757,0.07,-0.02,0.03,0.08
25,0.12569270968000265,0.06,0.2,0.186587566524707,0.12799590744038922,0.07,-0.02,0.03,0.08
26,0.12594866516900802,0.06,0.2,0.1803659990367495,0.12880820328005935,0.07,-0.02,0.03,0.08
27,0.1261391425038917,0.06,0.3,0.17356264382747533,0.12947710852440922,0.07,-0.02,0.03,0.08
28,0.12620645713035508,0.06,0.3,0.16956312563933737,0.12985708016172554,0.07,-0.02,0.03,0.08
29,0.1262051080208627,0.06,0.3,0.16939004974356478,0.13007404926747312,0.07,-0.02,0.03,0.08
30,0.1261657619205086,0.06,0.3,0.16916605133385804,0.13019830994280998,0.07,-0.02,0.03,0.08
31,0.12610568040951295,0.06,0.3,0.168887087215997,0.1302695964468185,0.06866666666666667,-0.017333333333333333,0.03,0.07633333333333334
32,0.12603457911224372,0.06,0.3,0.1685489033557393,0.13031053231726492,0.06733333333333334,-0.014666666666666668,0.03,0.07266666666666667
33,0.1259579241957793,0.06,0.3,0.16814694629957844,0.1303340526605648,0.066,-0.012,0.03,0.069
34,0.12587878826480542,0.06,0.3,0.16767629244892263,0.13034757098410024,0.06466666666666668,-0.009333333333333334,0.03,0.06533333333333334
35,0.12579889556292728,0.08,0.3,0.16713158692170027,0.13035534207910926,0.06333333333333334,-0.006666666666666668,0.03,0.06166666666666667
36,0.1257192107006074,0.08,0.3,0.1552947641569556,0.1303598098171826,0.062000000000000006,-0.004,0.03,0.057999999999999996
37,0.12729020023209292,0.08,0.3,0.14287485917395615,0.13155648702949746,0.060666666666666674,-0.0013333333333333322,0.03,0.05433333333333333
38,0.12910684057025387,0.08,0.4,0.12950333025880795,0.132972534815925,0.05933333333333334,0.0013333333333333322,0.03,0.050666666666666665
39,0.13069540613201383,0.08,0.4,0.12160633426674314,0.1342628563691303,0.05800000000000001,0.004,0.03,0.047
40,0.13152160960467263,0.08,0.5,0.11529348279497582,0.13499534712897404,0.05666666666666667,0.0066666666666666645,0.03,0.043333333333333335
41,0.1319182482200285,0.08,0.5,0.10916791299951138,0.13541345811135136,0.05533333333333334,0.009333333333333332,0.03,0.03966666666666667
42,0.13207255913667965,0.08,0.5,0.10662953824800173,0.13565286607095803,0.054000000000000006,0.012,0.03,0.036
43,0.1320902295114517,0.08,0.5,0.10372724385294171,0.1357901948849456,0.05266666666666667,0.014666666666666672,0.03,0.03233333333333333
44,0.1320310264541274,0.08,0.5,0.10040797866478313,0.13586904993425497,0.05133333333333334,0.017333333333333336,0.03,0.028666666666666667
45,0.1319287868983489,0.08,0.5,0.09661080895096637,0.13591435560764092,0.05,0.02,0.03,0.025
46,0.13180268281088017,0.08,0.5,0.09226557772857955,0.13594039448617015,0.05,0.02,0.03,0.025
