,system_liquidity,default_rate,network_stress,avg_capital_ratio,avg_liquidity_ratio,unemployment_rate,gdp_growth,interest_rate,credit_spread
0,0.07236311839114253,0.0,0.0,0.20457361668009613,0.060151183571446463,0.04,0.02,0.03,0.02
1,0.10557834174959378,0.0,0.0,0.21071023981329956,0.10032845284318861,0.04,0.02,0.03,0.02
2,0.11763722478101453,0.0,0.0,0.21444292299002998,0.11619226923817734,0.04,0.02,0.03,0.02
3,0.12189417966265953,0.0,0.0,0.21674928468264784,0.12162724952958295,0.04,0.02,0.03,0.02
4,0.12280868111279741,0.0,0.0,0.21827892564624327,0.12270994947861302,0.04,0.02,0.03,0.02
5,0.12283083648871666,0.0,0.0,0.21956876087433236,0.12274428159403458,0.04,0.02,0.03,0.02
6,0.12278708810177676,0.0,0.0,0.2208063470375376,0.12271340142004919,0.04,0.02,0.03,0.02
7,0.1227085187508319,0.0,0.0,0.22199304449685595,0.12264588987578644,0.04,0.02,0.03,0.02
8,0.12261357791233526,0.0,0.0,0.22313126759360688,0.12256071180864983,0.04,0.02,0.03,0.02
9,0.12251242894992109,0.0,0.0,0.22422323860365992,0.12246835558578799,0.04,0.02,0.03,0.02
10,0.12241907470169873,0.02,0.0,0.22527355707034563,0.12238019165920448,0.04,0.02,0.03,0.02
11,0.12275413092150607,0.04,0.0,0.22146731282037643,0.12282139293852976,0.04,0.02,0.03,0.02
12,0.12353890684604679,0.04,0.0,0.21366919362978637,0.12382013885191687,0.04,0.02,0.03,0.02
13,0.12454956195694013,0.04,0.1,0.20549040052793338,0.12510901156348522,0.04666666666666667,0.014444444444444444,0.03,0.024444444444444446
14,0.12541126555476373,0.04,0.1,0.19675951938664132,0.12623687073321727,0.05333333333333334,0.008888888888888889,0.03,0.028888888888888888
15,0.12583851415926703,0.04,0.2,0.19296245198845244,0.1268613153258455,0.06,0.003333333333333334,0.03,0.03333333333333333
16,0.1260231136787061,0.04,0.2,0.18968793693754013,0.12720261474452216,0.06666666666666667,-0.0022222222222222227,0.03,0.03777777777777778
17,0.1260726726484753,0.04,0.2,0.19011828925720203,0.12738373057220848,0.07333333333333333,-0.007777777777777779,0.03,0.042222222222222223
18,0.12604765088316003,0.04,0.2,0.19052176559104933,0.12747414019834072,0.08,-0.013333333333333332,0.03,0.04666666666666666
19,0.1259820318210922,0.04,0.2,0.19089830334022345,0.12751336311898862,0.08666666666666667,-0.01888888888888889,0.03,0.051111111111111114
20,0.12590518149339786,0.04,0.2,0.19125156475084565,0.12753152154032543,0.09333333333333334,-0.024444444444444446,0.03,0.05555555555555555
21,0.12582335569557757,0.04,0.2,0.1915824759188035,0.12754032421014266,0.1,-0.03,0.03,0.06
22,0.1257392656623471,0.04,0.2,0.19189063940219608,0.12754357449709036,0.09444444444444446,-0.024444444444444442,0.03,0.056666666666666664
23,0.1256633561417798,0.04,0.2,0.1921789185477774,0.12755038888556886,0.08888888888888889,-0.018888888888888886,0.03,0.05333333333333333
24,0.12558761527395504,0.06,0.2,0.19244486186323126,0.12755488842304757,0.08333333333333334,-0.013333333333333332,0.03,0.05
25,0.12569270968000265,0.06,0.2,0.186587566524707,0.12799590744038922,0.07777777777777778,-0.007777777777777776,0.03,0.04666666666666666
26,0.12594866516900802,0.06,0.2,0.1803659990367495,0.12880820328005935,0.07222222222222223,-0.002222222222222219,0.03,0.043333333333333335
27,0.1261391425038917,0.06,0.3,0.17356264382747533,0.12947710852440922,0.06666666666666668,0.003333333333333334,0.03,0.04
28,0.12620645713035508,0.06,0.3,0.16956312563933737,0.12985708016172554,0.061111111111111116,0.00888888888888889,0.03,0.03666666666666667
29,0.1262051080208627,0.06,0.3,0.16939004974356478,0.13007404926747312,0.05555555555555556,0.014444444444444447,0.03,0.03333333333333333
30,0.1261657619205086,0.06,0.3,0.16916605133385804,0.13019830994280998,0.05,0.02,0.03,0.025
31,0.12610568040951295,0.06,0.3,0.168887087215997,0.1302695964468185,0.05,0.02,0.03,0.025
32,0.12603457911224372,0.06,0.3,0.1685489033557393,0.13031053231726492,0.05,0.02,0.03,0.025
33,0.1259579241957793,0.06,0.3,0.16814694629957844,0.1303340526605648,0.05,0.02,0.03,0.025
34,0.12587878826480542,0.06,0.3,0.16767629244892263,0.13034757098410024,0.05,0.02,0.03,0.025
35,0.12579889556292728,0.06,0.3,0.16713158692170027,0.13035534207910926,0.05,0.02,0.03,0.025
36,0.1257192107006074,0.06,0.3,0.16650698671579445,0.1303598098171826,0.05,0.02,0.03,0.025
37,0.1256402702865377,0.06,0.3,0.1657961047268796,0.1303623785544969,0.05,0.02,0.03,0.025
38,0.12556236973871676,0.06,0.3,0.16499195229992597,0.13036385550834143,0.05,0.02,0.03,0.025
39,0.12548566851696738,0.06,0.3,0.164086878676469,0.1303647047336228,0.05,0.02,0.03,0.025
40,0.12541024940235082,0.06,0.3,0.16307250610491306,0.13036519303049626,0.05,0.02,0.03,0.025
41,0.12533615189237837,0.06,0.3,0.1619396596117856,0.13036547379866484,0.05,0.02,0.03,0.025
42,0.12526339101710837,0.06,0.3,0.16067829055190785,0.13036563523952407,0.05,0.02,0.03,0.025
43,0.12519196794410292,0.06,0.3,0.15927739310442018,0.1303657280677412,0.05,0.02,0.03,0.025
44,0.12512187595898008,0.06,0.3,0.1577249128838311,0.13036578144387448,0.05,0.02,0.03,0.025
45,0.1250531038416307,0.06,0.3,0.156007646805624,0.13036581213512083,0.05,0.02,0.03,0.025
46,0.12498563777572586,0.06,0.3,0.15411113329341514,0.13036582978257744,0.05,0.02,0.03,0.025
